"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Packs","12","3","Packs - pack detail","0"
"0","","0","Signup","8","0","Signup - Entry Points","0"
"0","","0","Data verification","8","4","Data verification - feed search","0"
"0","","0","Contest entry","13","2","Contests - Enter Contest","0"
"0","","0","Slip sharing","12","0","Tail feed - share toggle and tailing","0"
"0","","0","Settings","3","0","Settings - My Settings","0"
"0","","0","My Entries","30","0","My Entries - Active and History","0"
"0","","0","Navigation","8","4","Shell - logged-out bottom nav","0"
"0","","0","Slip persistence","9","0","Slip persistence - navigation and reload","0"
"0","","0","Authentication","6","0","Login - Logout Flow","0"
"0","","0","Data verification","12","3","Data verification - picks grid","0"
"0","","0","Navigation","10","2","Legal - contact","0"
"0","","0","Navigation","5","0","Desktop top nav - routing and wallet pill","0"
"0","","0","Data verification","3","0","Data verification - history entries","0"
"0","","0","Navigation","8","0","Bottom nav - tab routing and active indicator","0"
"0","","0","Transactions","3","0","Transactions - contest rows","0"
"0","","0","Account menu","6","0","Menu - Account Center","0"
"0","","0","Navigation","2","0","Bottom nav - Entries active indicator","0"
"0","","0","Rewards & promos","9","6","Rewards - Partner Rewards","0"
"0","","0","Navigation","9","0","Shell - system pages","0"
"0","","0","Navigation","18","0","Legal - policy documents","0"
"0","","0","Theme","18","0","Theme - dark mode","0"
"0","","0","Transactions","18","3","Transactions - transaction log","0"
"0","","0","Packs","12","3","Packs - lobby","0"
"0","","0","Authentication","18","0","Login - Invalid Credentials","0"
"0","","0","My Entries","18","9","My Entries - entry card","0"
"0","","0","Packs","6","0","Packs - access control","0"
"0","","0","Signup","4","0","Signup - Form Fields","0"
"0","","0","Settings","3","0","Settings - Player Limits","0"
"0","","0","My Entries","3","0","My Entries - History Leaderboard FAQ","0"
"0","","0","Authentication","9","0","Login - Page Rendering","0"
"0","","0","Navigation","3","0","Shell - desktop header promo carousel","0"
"0","","0","My Entries","6","0","My Entries - cancel entry","0"
"0","","0","Home feed","6","0","Home - Feed Search","0"
"0","","0","Data verification","3","0","Data verification - player detail modal","0"
"0","","0","Stat selection","2","1","Stats - Full Game default selection","0"
"0","","0","Slip sharing","6","0","Slip sharing - share and tail","0"
"0","","0","Authentication","12","0","Login - Valid Credentials","0"
"0","","0","Data verification","3","0","Data verification - active entries","0"
"0","","0","Packs","6","0","Packs - opening iframe","0"
"0","","0","Navigation","3","0","Footer - age badge","0"
"0","","0","","0","2","","0"
"0","","0","Authentication","6","0","Login - Navigation","0"
"0","","0","User limits","3","0","User Limits - Limit Exceeded Modal","0"
"0","","0","Contest entry","2","0","Contests - Desktop Pick Slip","0"
"0","","0","Navigation","3","0","Shell - desktop logged-out top nav","0"
"0","","0","Navigation","3","0","Legal - footer links","0"
"0","","0","Account menu","3","0","Menu - Desktop Account Dropdown","0"
"0","","0","Authentication","3","0","Login - Desktop Modal","0"
"0","","0","Signup","2","0","Signup - Validation","0"
